Original,Character,Dialogue,Wordcount
Lunafreya Nox Fleuret:(narrating)For centuries the sacred magic of theDivine Crystalblessed our world and its people.,Lunafreya, (narrating) For centuries the sacred magic of the Divine Crystal blessed our world and its people.,13
"Lunafreya:(narrating)But, in time, the promise of its power brought war to our lands.",Lunafreya," (narrating) But, in time, the promise of its power brought war to our lands.",13
"Lunafreya:(narrating)Amid the escalating war, Prince Noctis of Lucis had come to Tenebrae to seek healing for a grievous injury. He made the long journey together with his father, King Regis.",Lunafreya," (narrating) Amid the escalating war, Prince Noctis of Lucis had come to Tenebrae to seek healing for a grievous injury. He made the long journey together with his father, King Regis.",30
"Lunafreya:(narrating)Mother, brother, and I, the royalty of Tenebrae, had all welcomed their visit.",Lunafreya," (narrating) Mother, brother, and I, the royalty of Tenebrae, had all welcomed their visit.",13
"Lunafreya:(narrating)It was then that the fires came, everywhere and all at once.",Lunafreya," (narrating) It was then that the fires came, everywhere and all at once.",12
"Lunafreya:(narrating)In a mere instant, the whole of Tenebrae was ablaze.",Lunafreya," (narrating) In a mere instant, the whole of Tenebrae was ablaze.",10
Ravus Nox Fleuret:Mother!,Ravus, Mother!,1
Regis Lucis Caelum:General Glauca.,King Regis, General Glauca.,2
Luna:(narrating)The Niflheim attack was an attempt on the lives of the visiting Lucian royalty.,Luna, (narrating) The Niflheim attack was an attempt on the lives of the visiting Lucian royalty.,14
"Ravus:Please, help us! King Regis!",Ravus," Please, help us! King Regis!",5
Noctis Lucis Caelum:Luna!,Noctis, Luna!,1
"Lunafreya:(narrating)From that day until this day, Tenebrae has been gripped in the iron fist of Niflheim, sworn enemy of Lucis.",Lunafreya," (narrating) From that day until this day, Tenebrae has been gripped in the iron fist of Niflheim, sworn enemy of Lucis.",20
"Libertus Ostium:What's the hold-up, Crowe?",Libertus," What's the hold-up, Crowe?",4
Crowe:(into earpiece)Almost there...,Crowe, (into earpiece) Almost there...,3
Pelna Khara:Lucis isn't paying us refugees enough for this!,Pelna Khara, Lucis isn't paying us refugees enough for this!,8
Pelna:How is this fair?,Pelna, How is this fair?,4
"Pelna:Nyx, I owe you one.",Pelna," Nyx, I owe you one.",5
Nyx:You and everyone else.,Nyx, You and everyone else.,4
"Nyx:I'm on my way. Pelna, fall back and regroup with the others.",Nyx," I'm on my way. Pelna, fall back and regroup with the others.",12
"Pelna:Go easy on the magic, hero. You got people waiting for you back home.",Pelna," Go easy on the magic, hero. You got people waiting for you back home.",14
Nyx:I'm worth the wait.,Nyx, I'm worth the wait.,4
"Luche:(over radio)Watch your back, Libertus. We got more incoming.",Luche," (over radio) Watch your back, Libertus. We got more incoming.",9
Libertus:We ain't gonna last much longer. Crowe!,Libertus, We ain't gonna last much longer. Crowe!,7
"Luche:(over radio)All Glaives, fall back. Repeat, all Glaives fall back!",Luche," (over radio) All Glaives, fall back. Repeat, all Glaives fall back!",10
Niflheim Man:Release the daemon.,Niflheim Man, Release the daemon.,3
Captain Drautos:(over radio)We can't take down that daemon. I'm ordering a full retreat. Get back here alive. That's an order. For hearth and home.,Captain Drautos, (over radio) We can't take down that daemon. I'm ordering a full retreat. Get back here alive. That's an order. For hearth and home.,23
"Glaive:(over radio)All units, fall back to the extraction point. Support is inbound.",Glaive," (over radio) All units, fall back to the extraction point. Support is inbound.",12
Luche:Nyx! We have to get out of here. Nyx! We have orders!,Luche, Nyx! We have to get out of here. Nyx! We have orders!,12
Girl's Voice:(memory)Help!,Girl's Voice, (memory) Help!,1
"Nyx:Oh, that idiot.",Nyx," Oh, that idiot.",3
"Pelna:Crowe, we gotta move.",Pelna," Crowe, we gotta move.",4
Libertus:You gotta be kidding me.,Libertus, You gotta be kidding me.,5
"Libertus:Whoa, whoa, whoa! You know I ain't got the stomach for this crap.",Libertus," Whoa, whoa, whoa! You know I ain't got the stomach for this crap.",13
"Captain Drautos:Luche, report.",Captain Drautos," Luche, report.",2
"Luche:The imperial forces look to be withdrawing, sir.",Luche," The imperial forces look to be withdrawing, sir.",8
Libertus:Guess I owe you another one.,Libertus, Guess I owe you another one.,6
"Nyx:I'll put it on your tab. You just try and get some rest, alright?",Nyx," I'll put it on your tab. You just try and get some rest, alright?",14
Captain Drautos:You disobeyed a direct order to retreat.,Captain Drautos, You disobeyed a direct order to retreat.,7
"Nyx:""For hearth and home,"" right, sir? As long as I got strength in my body, I obeythatorder.",Nyx," ""For hearth and home,"" right, sir? As long as I got strength in my body, I obey that order.",17
"Captain Drautos:Don't fool yourself, Nyx Ulric. Whatever strength you have is on loan from the king. You are nothing without him. Await details of your reassignment.",Captain Drautos," Don't fool yourself, Nyx Ulric. Whatever strength you have is on loan from the king. You are nothing without him. Await details of your reassignment.",25
"Captain Drautos:Yes, Your Majesty. Despite their victory all but assured.",Captain Drautos," Yes, Your Majesty. Despite their victory all but assured.",9
King Regis:A sudden and inexplicable retreat.,King Regis, A sudden and inexplicable retreat.,5
"Clarus Amicitia:We are at risk nonetheless, Your Majesty. We cannot know when they will strike again.",Clarus Amicitia," We are at risk nonetheless, Your Majesty. We cannot know when they will strike again.",15
"Man:Your Majesty, word from the West Gate. A man claiming to be an envoy of the Empire requests an audience.",Man," Your Majesty, word from the West Gate. A man claiming to be an envoy of the Empire requests an audience.",20
"Man:(voice over)The envoy from Niflheim awaits without, Your Majesty.",Man," (voice over) The envoy from Niflheim awaits without, Your Majesty.",9
"???:Hello there. Hello! Good day to you...and you. Well met, my dear Lucians.",???," Hello there. Hello! Good day to you...and you. Well met, my dear Lucians.",13
"King Regis:Has Niflheim grown so bold that they send the chancellor himself as envoy? And under no guard, at that?",King Regis," Has Niflheim grown so bold that they send the chancellor himself as envoy? And under no guard, at that?",19
"Chancellor Izunia:It is an honor to be recognized by the great King Regis! Yet, permit me to stand on ceremony and introduce myself nonetheless.",Chancellor Izunia," It is an honor to be recognized by the great King Regis! Yet, permit me to stand on ceremony and introduce myself nonetheless.",23
"Chancellor Izunia:Ardyn Izunia, chancellor of Niflheim, at your humble service. And I come to you on this most auspicious of days to offer terms of peace.",Chancellor Izunia," Ardyn Izunia, chancellor of Niflheim, at your humble service. And I come to you on this most auspicious of days to offer terms of peace.",25
"Chancellor Izunia:As you no doubt surmised, that recent maneuver of ours was no strategic retreat. Call it...",Chancellor Izunia," As you no doubt surmised, that recent maneuver of ours was no strategic retreat. Call it...",16
"Chancellor Izunia:A gesture of imperial goodwill. Like you, we wish nothing more than to bring a swift end to this senseless war.",Chancellor Izunia," A gesture of imperial goodwill. Like you, we wish nothing more than to bring a swift end to this senseless war.",21
King Regis:Is that so?,King Regis, Is that so?,3
"Chancellor Izunia:It is, indeed. And we require but a singular compliance: save your grand Insomnia here, Lucis must forfeit all territories to Niflheim rule.",Chancellor Izunia," It is, indeed. And we require but a singular compliance save your grand Insomnia here, Lucis must forfeit all territories to Niflheim rule.",23
"Chancellor Izunia:Ah, Insomnia! The jewel in the crown of the Lucian kingdom. How foolish of me to forget. There is just one more trivial thing. It concerns your son. The fetching Prince Noctis of Lucis and the fair Princess Lunafreya of Tenebrae...they are to be wed. You seem vexed, Your Highness. I assure you, the princess still holds you in the highest regard as she has done all these twelve long years.",Chancellor Izunia," Ah, Insomnia! The jewel in the crown of the Lucian kingdom. How foolish of me to forget. There is just one more trivial thing. It concerns your son. The fetching Prince Noctis of Lucis and the fair Princess Lunafreya of Tenebrae...they are to be wed. You seem vexed, Your Highness. I assure you, the princess still holds you in the highest regard as she has done all these twelve long years.",71
"Petra:Do yourself a favor, take a look around. This is what a hundred years of peace looks like. It's a lasting peace made by the Wall and the Wall alone.",Petra," Do yourself a favor, take a look around. This is what a hundred years of peace looks like. It's a lasting peace made by the Wall and the Wall alone.",30
"Petra:See, we don't need any of you immigrants jumping around, playing war hero.",Petra," See, we don't need any of you immigrants jumping around, playing war hero.",13
"Libertus:Hey! Rough day on the gate, huh, Glaive?",Libertus," Hey! Rough day on the gate, huh, Glaive?",8
Crowe:You jerk! It's your fault he got stuck there!,Crowe, You jerk! It's your fault he got stuck there!,9
Nyx:Not a very nice welcome for a big hero.,Nyx, Not a very nice welcome for a big hero.,9
"Crowe:Not a very nice outfit for one, either.",Crowe," Not a very nice outfit for one, either.",8
Nyx:I think it brings out my eyes.,Nyx, I think it brings out my eyes.,7
"Crowe:Hey, Libertus. You thank Nyx for saving your life yet?",Crowe," Hey, Libertus. You thank Nyx for saving your life yet?",10
"Libertus:Oh, come on, Crowe. Nyx and I are too close for that. He helps me, I help him. That's the way it's always been.",Libertus," Oh, come on, Crowe. Nyx and I are too close for that. He helps me, I help him. That's the way it's always been.",24
"Nyx:Looks like you got a little help from something else, huh?",Nyx," Looks like you got a little help from something else, huh?",11
Libertus:I need all I can get.,Libertus, I need all I can get.,6
Pelna:For hearth!,Pelna, For hearth!,2
Glaives:(together)And home.,Glaives, (together) And home.,2
"Pelna:So, Nyx the Gatekeeper. How's the new post treating you?",Pelna," So, Nyx the Gatekeeper. How's the new post treating you?",10
"Nyx:Oh, it's amazing. You guys would love it. The gate watch are real sweethearts.",Nyx," Oh, it's amazing. You guys would love it. The gate watch are real sweethearts.",14
"Pelna:Ha-ha-ha. Yeah, right. We all know they hate us outsiders more than anything. So bored they got nothing better to do.",Pelna," Ha-ha-ha. Yeah, right. We all know they hate us outsiders more than anything. So bored they got nothing better to do.",21
"Nyx:Boredom's not so bad. Means there's peace, at least. I'd fight a hundred more wars for Galahdans to know boredom.",Nyx," Boredom's not so bad. Means there's peace, at least. I'd fight a hundred more wars for Galahdans to know boredom.",20
Pelna:Fight all you want. Just don't go dying yet. I still owe you. Alot.,Pelna, Fight all you want. Just don't go dying yet. I still owe you. A lot.,14
Libertus:Where would the Glaive be without its hero?,Libertus, Where would the Glaive be without its hero?,8
"Crowe:Can you not talk like this while we're drinking, please? Besides, we just sent the Niffs running with their tails between their legs, right?",Crowe," Can you not talk like this while we're drinking, please? Besides, we just sent the Niffs running with their tails between their legs, right?",24
"Luche:They weren't running from us. No, they were toying with us.",Luche," They weren't running from us. No, they were toying with us.",11
"Nyx:Stop being such a buzzkill, Luche. We all know what happened.",Nyx," Stop being such a buzzkill, Luche. We all know what happened.",11
"Luche:Well, did you know they sent an envoy to the Citadel after that?",Luche," Well, did you know they sent an envoy to the Citadel after that?",13
Libertus:What for? To offer their surrender?,Libertus, What for? To offer their surrender?,6
Luche:More like demand ours.,Luche, More like demand ours.,4
"Libertus:""Demand?"" My ass!",Libertus," ""Demand?"" My ass!",3
Luche:No? Think about it. The Empire's got Lucis on its last legs. It's the perfect time to make demands.,Luche, No? Think about it. The Empire's got Lucis on its last legs. It's the perfect time to make demands.,19
"Council Member 1:We are losing this war, Your Majesty. Lucis cannot rely on the Kingsglaive alone. Accepting the truce may be our best course of action.",Council Member 1," We are losing this war, Your Majesty. Lucis cannot rely on the Kingsglaive alone. Accepting the truce may be our best course of action.",24
"Council Member 2:You speak of matters beyond the New Wall. We have no need of a truce here, so long as it stands. And, if our position worsens, we still have the Old Wall.",Council Member 2," You speak of matters beyond the New Wall. We have no need of a truce here, so long as it stands. And, if our position worsens, we still have the Old Wall.",32
"Council Member 3:Yes, but this truce will end the fighting altogether. If only we could compromise--",Council Member 3," Yes, but this truce will end the fighting altogether. If only we could compromise--",14
"Clarus:Compromise is unwise. We know nothing of Niflheim's true intentions. Do not fool yourselves, The Walls are far from impenetrable.",Clarus," Compromise is unwise. We know nothing of Niflheim's true intentions. Do not fool yourselves, The Walls are far from impenetrable.",20
"Clarus:Then let the choice be made, Your Majesty. What are we to protect?",Clarus," Then let the choice be made, Your Majesty. What are we to protect?",13
"Girl's Voice:(memory)Help, mother!",Girl's Voice," (memory) Help, mother!",2
"Libertus:How come you never lose your lunch like that? Just doesn't add up. Here's this ancient art, secret of the royal family and all that.",Libertus," How come you never lose your lunch like that? Just doesn't add up. Here's this ancient art, secret of the royal family and all that.",25
"Crowe:Libertus! Nyx! Come here, guys, you gotta see this.",Crowe," Libertus! Nyx! Come here, guys, you gotta see this.",9
"News Anchor:(on TV)Things were hectic in the capital today as the Lucian government announced full acceptance of what some are criticizing as the unilateral peace terms proposed by Chancellor Izunia of Niflheim. The signing of the truce will see governing power over all Lucian territories transferred to the Empire, with the sole exception of Insomnia. In return, Niflheim guarantees the continued safety of Insomnia and its citizenry, as well as a cessation to all hostilities, bringing a decisive end to this long and bitter war.",News Anchor," (on TV) Things were hectic in the capital today as the Lucian government announced full acceptance of what some are criticizing as the unilateral peace terms proposed by Chancellor Izunia of Niflheim. The signing of the truce will see governing power over all Lucian territories transferred to the Empire, with the sole exception of Insomnia. In return, Niflheim guarantees the continued safety of Insomnia and its citizenry, as well as a cessation to all hostilities, bringing a decisive end to this long and bitter war.",84
Crowe:All that fighting we did. All for nothing.,Crowe, All that fighting we did. All for nothing.,8
Captain Drautos:Glaives. Assemble in the briefing room.Now.,Captain Drautos, Glaives. Assemble in the briefing room. Now.,6
"Captain Drautos:The king has spoken, and you have heard. All lands beyond the Wall are to be relinquished to the Empire.",Captain Drautos," The king has spoken, and you have heard. All lands beyond the Wall are to be relinquished to the Empire.",20
Luche:Will no regions be spared?,Luche, Will no regions be spared?,5
"Libertus:But your home's out there, too!",Libertus," But your home's out there, too!",6
Captain Drautos:It is.,Captain Drautos, It is.,2
Libertus:Why would the king do this?,Libertus, Why would the king do this?,6
Captain Drautos:Because it'll end this damn war. Crowe.,Captain Drautos, Because it'll end this damn war. Crowe.,7
Captain Drautos:Prepare to deploy. You're being sent to infiltrate Tenebrae.,Captain Drautos, Prepare to deploy. You're being sent to infiltrate Tenebrae.,9
"Crowe:Tenebrae, sir?",Crowe," Tenebrae, sir?",2
"Captain Drautos:Mission details are classified. Report to my office for briefing in thirty minutes. And, Nyx: you're off the West Gate. You've been reassigned to the castle guard. That is all.",Captain Drautos," Mission details are classified. Report to my office for briefing in thirty minutes. And, Nyx you're off the West Gate. You've been reassigned to the castle guard. That is all.",30
"Libertus:So, this is what you were talking about, Luche?",Libertus," So, this is what you were talking about, Luche?",9
Luche:You heard the captain. This wasn't our decision to make.,Luche, You heard the captain. This wasn't our decision to make.,10
Libertus:Not ours to make? Those are our homes out there! Our people! And you're just gonna go along with this and abandon them?,Libertus, Not ours to make? Those are our homes out there! Our people! And you're just gonna go along with this and abandon them?,23
"Luche:If we don't go along with them, the Empire will unleash all hell on Insomnia.",Luche," If we don't go along with them, the Empire will unleash all hell on Insomnia.",15
Libertus:We'll unleash it right back at them!,Libertus, We'll unleash it right back at them!,7
"Nyx:Easy, easy. He's not the enemy.",Nyx," Easy, easy. He's not the enemy.",6
"Tredd:Don't you get it? We're nothing to them. Rats, snuck in from beyond the Wall. Sure, they had a use for us when they realized we could work their magic. So they handpicked us out from all the other rats out there and just let us nibble away at His Royal Majesty's precious power. But, as soon as this war's all over, it's back to the sewers for all of us. That means you too, hero. You missing home so much, Libertus, why don't you and Nyx head on back? I'm sure Niflheim will welcome you with open arms.",Tredd," Don't you get it? We're nothing to them. Rats, snuck in from beyond the Wall. Sure, they had a use for us when they realized we could work their magic. So they handpicked us out from all the other rats out there and just let us nibble away at His Royal Majesty's precious power. But, as soon as this war's all over, it's back to the sewers for all of us. That means you too, hero. You missing home so much, Libertus, why don't you and Nyx head on back? I'm sure Niflheim will welcome you with open arms.",99
"Nyx:You've got a home out there, too! Or did you forget?",Nyx," You've got a home out there, too! Or did you forget?",11
Libertus:Ugh! Damn it! I'm not gonna let it end like this!,Libertus, Ugh! Damn it! I'm not gonna let it end like this!,11
"Council Member 1:It is said sentiment amongst the people is favorable, Your Majesty. Most all will welcome this peace.",Council Member 1," It is said sentiment amongst the people is favorable, Your Majesty. Most all will welcome this peace.",17
"King Regis:If you yourself have not heard their voices, how can you claim to know their hearts?",King Regis," If you yourself have not heard their voices, how can you claim to know their hearts?",16
"Council Member 2:What of the mission to Tenebrae, Your Majesty? Is such clandestine action wise? If discovered, it will only serve to provoke the Empire.",Council Member 2," What of the mission to Tenebrae, Your Majesty? Is such clandestine action wise? If discovered, it will only serve to provoke the Empire.",23
"Clarus:The Empire remains our enemy until the treaty is signed. So long as we are at war, His Majesty intends to remain one step ahead of them.",Clarus," The Empire remains our enemy until the treaty is signed. So long as we are at war, His Majesty intends to remain one step ahead of them.",27
Council Member 2:Of course.,Council Member 2, Of course.,2
Nyx:A hairpin? I didn't think you were into that kind of thing.,Nyx, A hairpin? I didn't think you were into that kind of thing.,12
"Crowe:It's not for me, it's a gift for the princess. But keep that quiet, nobody's supposed to know.",Crowe," It's not for me, it's a gift for the princess. But keep that quiet, nobody's supposed to know.",18
"Crowe:Well, that's me.",Crowe," Well, that's me.",3
Nyx:Watch your back out there.,Nyx, Watch your back out there.,5
"Libertus:I know you're sick of hearing it, but you're like a little--",Libertus," I know you're sick of hearing it, but you're like a little--",12
"Crowe:(interrupting)Little sister to you. Yeah, I am sick of hearing it.",Crowe," (interrupting) Little sister to you. Yeah, I am sick of hearing it.",11
"Libertus:Just make sure you come back in one piece, all right?",Libertus," Just make sure you come back in one piece, all right?",11
Crowe:Says the guy in two pieces.,Crowe, Says the guy in two pieces.,6
"Maria:Lady Lunafreya, I have left the rear gate open.",Maria," Lady Lunafreya, I have left the rear gate open.",9
Lunafreya:Thank you.,Lunafreya, Thank you.,2
Maria:Must you go?,Maria, Must you go?,3
Maria:Then go quickly!,Maria, Then go quickly!,3
"Ravus:I do not recall granting you permission to leave your quarters, Lunafreya.",Ravus," I do not recall granting you permission to leave your quarters, Lunafreya.",12
Ravus:You are not to leave this room again until the journey to Lucis. It is for your own good.,Ravus, You are not to leave this room again until the journey to Lucis. It is for your own good.,19
Lunafreya:My own good? What is truly going on here? What cause does the Empire have to see me wed to Noctis?,Lunafreya, My own good? What is truly going on here? What cause does the Empire have to see me wed to Noctis?,21
"Ravus:They have offered a peace, and your marriage is the olive branch.",Ravus," They have offered a peace, and your marriage is the olive branch.",12
Lunafreya:You expect me to believe that?,Lunafreya, You expect me to believe that?,6
Ravus:What you believe does not concern me. What does concern me is you sneaking off to go and tell our mother's killer about some plot you've dreamt up.,Ravus, What you believe does not concern me. What does concern me is you sneaking off to go and tell our mother's killer about some plot you've dreamt up.,28
"Lunafreya:You are wrong to hate King Regis. Niflheim killed mother, not him. They murdered her and made you their lapdog.",Lunafreya," You are wrong to hate King Regis. Niflheim killed mother, not him. They murdered her and made you their lapdog.",20
Driver:It's done.,Driver, It's done.,2
"News Anchor:(on TV)An air of jubilation has swept the city in anticipation of the coming armistice. With only three days remaining until the peace is officially signed into effect, throngs of citizens have taken to the streets to show...",News Anchor," (on TV) An air of jubilation has swept the city in anticipation of the coming armistice. With only three days remaining until the peace is officially signed into effect, throngs of citizens have taken to the streets to show...",38
"King Regis:(memory)Lucis needs your strength, young warriors.",King Regis," (memory) Lucis needs your strength, young warriors.",6
Petra:(memory)We don't need any of you immigrants.,Petra, (memory) We don't need any of you immigrants.,7
Captain Drautos:(memory)Whatever strength you have is on loan from the king. You are nothing without him.,Captain Drautos, (memory) Whatever strength you have is on loan from the king. You are nothing without him.,15
"Girl's Voice:(memory)Nyx, help mother!",Girl's Voice," (memory) Nyx, help mother!",3
"Young Nyx:(memory)Selena, get down!",Young Nyx," (memory) Selena, get down!",3
News Anchor:(on TV)...And the waves of Imperial diplomats entering the city.,News Anchor, (on TV) ...And the waves of Imperial diplomats entering the city.,10
King Regis:The princess? Are you certain?,King Regis, The princess? Are you certain?,5
"Messenger:Yes, Your Majesty. She was amongst the last of the Imperial contingent to enter the city.",Messenger," Yes, Your Majesty. She was amongst the last of the Imperial contingent to enter the city.",16
Captain Drautos:Get in.,Captain Drautos, Get in.,2
"Nyx:I'm reporting to my post now though, sir.",Nyx," I'm reporting to my post now though, sir.",8
"Captain Drautos:New orders. Come on, we've got a princess to pick up.",Captain Drautos," New orders. Come on, we've got a princess to pick up.",11
"Nyx:Nice ride, sir.",Nyx," Nice ride, sir.",3
Captain Drautos:It belongs to the prince. We've taken him outside the city.,Captain Drautos, It belongs to the prince. We've taken him outside the city.,11
"Nyx:Doesn't he have a wedding to plan, sir?",Nyx," Doesn't he have a wedding to plan, sir?",8
"Captain Drautos:Cut the ""sir"" crap. The king has a plan of his own. Prince Noctis and Princess Lunafreya are to meet far from Insomnia.",Captain Drautos," Cut the ""sir"" crap. The king has a plan of his own. Prince Noctis and Princess Lunafreya are to meet far from Insomnia.",23
"Nyx:What's she doing here, then?",Nyx," What's she doing here, then?",5
Captain Drautos:Complicating things. We sent Crowe to find the princess and escort her out of Tenebrae. We're still trying to figure out what went wrong.,Captain Drautos, Complicating things. We sent Crowe to find the princess and escort her out of Tenebrae. We're still trying to figure out what went wrong.,24
"Captain Drautos:So, I know what you think about this war, but what do you think about this peace? You happy giving up your home?",Captain Drautos," So, I know what you think about this war, but what do you think about this peace? You happy giving up your home?",23
Nyx:It's the king's decision. I owe him for taking me in. I was lucky. There are people in Galahd who weren't. And they need me.,Nyx, It's the king's decision. I owe him for taking me in. I was lucky. There are people in Galahd who weren't. And they need me.,25
"Captain Drautos:So you're going back? What good will you be without the king's magic? Yeah, always wanting to save somebody. I get it, believe me. But it doesn't win wars.",Captain Drautos," So you're going back? What good will you be without the king's magic? Yeah, always wanting to save somebody. I get it, believe me. But it doesn't win wars.",29
Nyx:It's not just wanting. It's not just me. Libertus is the one you need to worry about. He'll go back if things get worse.,Nyx, It's not just wanting. It's not just me. Libertus is the one you need to worry about. He'll go back if things get worse.,24
Captain Drautos:The worst is yet to come.,Captain Drautos, The worst is yet to come.,6
"Escort:Do you have any idea who you're stopping? Open this gate now, and maybe you'll have a job tomorrow.",Escort," Do you have any idea who you're stopping? Open this gate now, and maybe you'll have a job tomorrow.",19
Petra:King's orders.,Petra, King's orders.,2
"Escort:Are you sure you want to risk a diplomatic issue now, of all times? I am the personal escort of Lady Lunafreya Nox Fleuret, Princess of the former Tenebrae and the Or--",Escort," Are you sure you want to risk a diplomatic issue now, of all times? I am the personal escort of Lady Lunafreya Nox Fleuret, Princess of the former Tenebrae and the Or--",32
"Captain Drautos:(interrupting)And our kingdom's beloved bride-to-be. Welcome to sovereign jurisdiction, Ambassador. We'll take care of things from here.",Captain Drautos," (interrupting) And our kingdom's beloved bride-to-be. Welcome to sovereign jurisdiction, Ambassador. We'll take care of things from here.",17
"Diplomat:Forgive me, Captain Drautos.",Diplomat," Forgive me, Captain Drautos.",4
